code,name,formal_name,continent,region,longitude,latitude
MMR,Myanmar,the Union of Myanmar,Asia,South-eastern Asia,97.08892285397344,19.901227931399873
NAM,Namibia,the Republic of Namibia,Africa,Southern Africa,,
NRU,Nauru,the Republic of Nauru,Oceania,Micronesia,166.92937633139178,-0.5221021440668993
NPL,Nepal,the Kingdom of Nepal,Asia,Southern Asia,84.1338898313567,28.300920699755657
NLD,Netherlands,the Kingdom of the Netherlands,Europe,Western Europe,5.554136426128487,52.134054128923886
NCL,New Caledonia,New Caledonia,Oceania,Melanesia,165.50767040438612,-21.33003372660827
NZL,New Zealand,New Zealand,Oceania,Australia-New Zealand,170.69035541428696,-43.82765432544426
NIC,Nicaragua,the Republic of Nicaragua,Latin America and the Caribbean,Central America,-85.016088327669,12.893566631930554
NER,Niger,the Republic of the Niger,Africa,Western Africa,8.86863247002646,17.08105392407292
NGA,Nigeria,the Federal Republic of Nigeria,Africa,Western Africa,8.147714845256194,9.61029352034213
NIU,Niue,the Republic of Niue,Oceania,Polynesia,-169.86878106699083,-19.05230921680393
MKD,North Macedonia,North Macedonia,Europe,Southern Europe,21.70998923872772,41.59402890143112
MNP,Northern Mariana Islands,Northern Mariana Islands,Oceania,Micronesia,145.74119737203134,15.178063516432115
NOR,Norway,the Kingdom of Norway,Europe,Northern Europe,16.670259272390894,64.97775882947745
OMN,Oman,the Sultanate of Oman,Asia,Western Asia,55.841088119829,20.7242833183209
PAK,Pakistan,the Islamic Republic of Pakistan,Asia,Southern Asia,69.08835090769651,30.116188371410882
PLW,Palau,the Republic of Palau,Oceania,Micronesia,134.57965086721052,7.534775852547396
PAN,Panama,the Republic of Panama,Latin America and the Caribbean,Central America,-80.14428761482796,8.439536749576892
PNG,Papua New Guinea,Papua New Guinea,Oceania,Melanesia,144.8348942994695,-7.156912819152135
PRY,Paraguay,the Republic of Paraguay,Latin America and the Caribbean,South America,-58.38906357428651,-23.42190559259428
PER,Peru,the Republic of Peru,Latin America and the Caribbean,South America,-74.11416196781884,-8.522717984240291
PHL,Philippines,the Republic of the Philippines,Asia,South-eastern Asia,121.82208941416745,15.586542251094242
POL,Poland,the Republic of Poland,Europe,Eastern Europe,19.43573279234468,52.06848055692473
PRT,Portugal,the Portuguese Republic,Europe,Southern Europe,-7.933662183874006,39.67529214702138
