year,name_country,code_country,total,continent,region
2019,Central African Rep.,CAF,592000,Africa,Middle Africa
2019,Cote d'Ivoire,CIV,303000,Africa,Western Africa
2019,Cameroon,CMR,969000,Africa,Middle Africa
2019,Dem. Rep. of the Congo,COD,5512000,Africa,Middle Africa
2019,Congo,COG,134000,Africa,Middle Africa
2019,Colombia,COL,5576000,Latin America and the Caribbean,South America
2019,Cyprus,CYP,228000,Asia,Western Asia
2019,Egypt,EGY,65000,Africa,Northern Africa
2019,Ethiopia,ETH,1414000,Africa,Eastern Africa
2019,Georgia,GEO,301000,Asia,Western Asia
2019,Ghana,GHA,230,Africa,Western Africa
2019,Guatemala,GTM,242000,Latin America and the Caribbean,Central America
2019,Honduras,HND,247000,Latin America and the Caribbean,Central America
2019,Haiti,HTI,2100,Latin America and the Caribbean,Caribbean
2019,Indonesia,IDN,40000,Asia,South-eastern Asia
2019,India,IND,470000,Asia,Southern Asia
2019,Iraq,IRQ,1555000,Asia,Western Asia
2019,Kenya,KEN,162000,Africa,Eastern Africa
2019,Lebanon,LBN,7000,Asia,Western Asia
2019,Libya,LBY,451000,Africa,Northern Africa
2019,Sri Lanka,LKA,27000,Asia,Southern Asia
2019,Madagascar,MDG,3000,Africa,Eastern Africa
2019,Mexico,MEX,345000,Latin America and the Caribbean,Central America
2019,North Macedonia,MKD,140,Europe,Southern Europe
2019,Mali,MLI,208000,Africa,Western Africa
2019,Myanmar,MMR,457000,Asia,South-eastern Asia
2019,Mozambique,MOZ,110000,Africa,Eastern Africa
2019,Malawi,MWI,150,Africa,Eastern Africa
2019,Niger,NER,195000,Africa,Western Africa
2019,Nigeria,NGA,2583000,Africa,Western Africa
2019,Pakistan,PAK,106000,Asia,Southern Asia
2019,Peru,PER,60000,Latin America and the Caribbean,South America
2019,Philippines,PHL,182000,Asia,South-eastern Asia
2019,Papua New Guinea,PNG,14000,Oceania,Melanesia
2019,Palestinian,PSE,243000,Asia,Western Asia
2019,Russian Federation,RUS,1800,Europe,Eastern Europe
2019,Sudan,SDN,2134000,Africa,Northern Africa
2019,Senegal,SEN,8400,Africa,Western Africa
2019,Sierra Leone,SLE,5500,Africa,Western Africa
2019,Somalia,SOM,2648000,Africa,Eastern Africa
2019,South Sudan,SSD,1352000,Africa,Eastern Africa
2019,Syrian Arab Rep.,SYR,6495000,Asia,Western Asia
2019,Chad,TCD,176000,Africa,Middle Africa
